HaulID,Survey,Country,Institute,Campaign,SurveyPeriod,Ship,Gear,GearDeployment,MeshSize,MeshType,CodendMesh,StationNumber,ELHaulFlag,NationalHaulID,Day,Month,Year,Hour,Minute,StartLatitude,StartLongitude,HaulDurationMinutes,HaulDurationSeconds,Distance,WireAngle,WireLength,Netopening,NetopeningArea,FlowEfficiency,NetClogging,FlowmeterType,FlowmeterBrand,FlowIntRevs,FlowIntCalibr,FlowExtRevs,FlowExtCalibr,VolumeFiltInt,ELVolFlag,DepthUpper,DepthLower,DepthBottom,SurTemp,Temp20m,Temp50m,Temp100m,BotTemp,SurSal,Sal20m,BotSal,Day.night,RecordType,Notes,HaulID.1,Species,ELSampleFlag,Length,Number,SubFactor,SpecIdentMethod,OilGlobulesFlag,OilGlobulesNumber,OilGlobulesDiam,PreservationMethod,Country.1,SurveyPeriod.1,Ship.1,Gear.1,StationNumber.1,RecordType.1,Year.1,HaulID.2,Species.1,IndividualNumber,Length.1,DevScale,DevStage,Country.2,SurveyPeriod.2,Ship.2,Gear.2,StationNumber.2,RecordType.2,Year.2
        2018NL002,DRS,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721905,,20185400002,16,4,2018,11,15,52.25967,4.2555,13,30,961,,,2,3.141592654,1,0.005183789,EMD,Valeport,10610,8.83,55,8.69,3774.892192,f,0,13,18,7.36,,,,7.12,30.75,,30.83,d,HH,NA,        2018NL002,Clupea harengus,LV,21,5,1,visual,N,,,F4B,NL,,64T2 ,MRN2,721905,HL,2018,        2018NL002,Clupea harengus,,21,MN1,l,NL,,64T2 ,MRN2,721905,CA,2018
        2018NL002,DRS,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721905,,20185400002,16,4,2018,11,15,52.25967,4.2555,13,30,961,,,2,3.141592654,1,0.005183789,EMD,Valeport,10610,8.83,55,8.69,3774.892192,f,0,13,18,7.36,,,,7.12,30.75,,30.83,d,HH,NA,        2018NL002,Clupea harengus,LV,22,5,1,visual,N,,,F4B,NL,,64T2 ,MRN2,721905,HL,2018,        2018NL002,Clupea harengus,,22,MN1,l,NL,,64T2 ,MRN2,721905,CA,2018
        2018NL002,DRS,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721905,,20185400002,16,4,2018,11,15,52.25967,4.2555,13,30,961,,,2,3.141592654,1,0.005183789,EMD,Valeport,10610,8.83,55,8.69,3774.892192,f,0,13,18,7.36,,,,7.12,30.75,,30.83,d,HH,NA,        2018NL002,Clupea harengus,LV,23,2,1,visual,N,,,F4B,NL,,64T2 ,MRN2,721905,HL,2018,        2018NL002,Clupea harengus,,23,MN1,l,NL,,64T2 ,MRN2,721905,CA,2018
        2018NL002,DRS,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721905,,20185400002,16,4,2018,11,15,52.25967,4.2555,13,30,961,,,2,3.141592654,1,0.005183789,EMD,Valeport,10610,8.83,55,8.69,3774.892192,f,0,13,18,7.36,,,,7.12,30.75,,30.83,d,HH,NA,        2018NL002,Clupea harengus,LV,24,5,1,visual,N,,,F4B,NL,,64T2 ,MRN2,721905,HL,2018,        2018NL002,Clupea harengus,,24,MN1,l,NL,,64T2 ,MRN2,721905,CA,2018
        2018NL002,DRS,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721905,,20185400002,16,4,2018,11,15,52.25967,4.2555,13,30,961,,,2,3.141592654,1,0.005183789,EMD,Valeport,10610,8.83,55,8.69,3774.892192,f,0,13,18,7.36,,,,7.12,30.75,,30.83,d,HH,NA,        2018NL002,Clupea harengus,LV,25,1,1,visual,N,,,F4B,NL,,64T2 ,MRN2,721905,HL,2018,        2018NL002,Clupea harengus,,25,MN1,l,NL,,64T2 ,MRN2,721905,CA,2018
        2018NL002,DRS,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721905,,20185400002,16,4,2018,11,15,52.25967,4.2555,13,30,961,,,2,3.141592654,1,0.005183789,EMD,Valeport,10610,8.83,55,8.69,3774.892192,f,0,13,18,7.36,,,,7.12,30.75,,30.83,d,HH,NA,        2018NL002,Clupea harengus,LV,26,3,1,visual,N,,,F4B,NL,,64T2 ,MRN2,721905,HL,2018,        2018NL002,Clupea harengus,,26,MN1,l,NL,,64T2 ,MRN2,721905,CA,2018
        2018NL002,DRS,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721905,,20185400002,16,4,2018,11,15,52.25967,4.2555,13,30,961,,,2,3.141592654,1,0.005183789,EMD,Valeport,10610,8.83,55,8.69,3774.892192,f,0,13,18,7.36,,,,7.12,30.75,,30.83,d,HH,NA,        2018NL002,Clupea harengus,LV,27,2,1,visual,N,,,F4B,NL,,64T2 ,MRN2,721905,HL,2018,        2018NL002,Clupea harengus,,27,MN1,l,NL,,64T2 ,MRN2,721905,CA,2018
        2018NL002,DRS,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721905,,20185400002,16,4,2018,11,15,52.25967,4.2555,13,30,961,,,2,3.141592654,1,0.005183789,EMD,Valeport,10610,8.83,55,8.69,3774.892192,f,0,13,18,7.36,,,,7.12,30.75,,30.83,d,HH,NA,        2018NL002,Clupea harengus,LV,30,1,1,visual,N,,,F4B,NL,,64T2 ,MRN2,721905,HL,2018,        2018NL002,Clupea harengus,,30,MN1,l,NL,,64T2 ,MRN2,721905,CA,2018
        2018NL002,DRS,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721905,,20185400002,16,4,2018,11,15,52.25967,4.2555,13,30,961,,,2,3.141592654,1,0.005183789,EMD,Valeport,10610,8.83,55,8.69,3774.892192,f,0,13,18,7.36,,,,7.12,30.75,,30.83,d,HH,NA,        2018NL002,Clupea harengus,LV,0,5,1,visual,N,,,F4B,NL,,64T2 ,MRN2,721905,HL,2018,        2018NL002,Clupea harengus,,0,MN1,l,NL,,64T2 ,MRN2,721905,CA,2018
        2018NL003,DRS,NL,1340,DRS,,64T2 ,MRN2,dO,1600,WoFab,500,721906,,20185400003,16,4,2018,11,42,52.60233,4.285,11,18,1638,,,2,3.141592654,1,0.469501675,EMD,Valeport,9853,8.83,4626,8.69,3505.561995,f,0,18,24,7.2,,,,7.19,33.06,,32.97,d,HH,NA,        2018NL003,Clupea harengus,LV,21,3,1,visual,N,,,F4B,NL,,64T2 ,MRN2,721906,HL,2018,        2018NL003,Clupea harengus,,21,MN1,l,NL,,64T2 ,MRN2,721906,CA,2018
